binary,function,blocks,edges,cyclomatic_complexity,llm_vuln_found,llm_obfuscation_detected,llm_techniques,vuln_category,binary_level,timestamp
target_easy_L1,vuln,3,2,1,true,true,"endbr64 (CET/IBT 인스트럭션, 일부 환경에서 junk instruction으로 활용);nop (junk instruction, 코드 분석 방해용 패딩)",easy,L1,2026-05-29 15:03:19
target_easy_L1L2,vuln,3,2,1,true,true,NOP padding (0x004012be의 nop 명령어로 정렬 또는 junk 삽입);endbr64 (CET 힌트 또는 잠재적 분석 방해용 삽입),easy,L1L2,2026-05-29 15:03:31
target_easy_L1L2L3,vuln,3,2,1,true,true,junk instruction (nop at 0x4012be);endbr64 as obfuscation padding,easy,L1L2L3,2026-05-29 15:03:39
target_easy_L1L2L3L4,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 일부 난독화 도구가 삽입);nop (junk instruction)",easy,L1L2L3L4,2026-05-29 15:03:49
target_easy_none,vuln,3,2,1,true,true,endbr64 (CET 관련 명령어로 분석 방해 가능);nop (junk instruction),easy,none,2026-05-29 15:03:59
target_hard_L1,process_input,8,8,2,true,true,"endbr64 (CET 관련 인스트럭션, 분석 방해 가능);간접 함수 호출을 통한 실제 함수 의미 은닉 (0x401220, 0x401280, 0x4011c0, 0x4012c0 등 심볼 미노출);RIP 상대 주소 기반 문자열 참조 (문자열 암호화 또는 동적 해석 가능성)",hard,L1,2026-05-29 15:04:14
target_hard_L1L2,process_input,8,8,2,true,true,"endbr64 (CET 헤더 / 간접 분기 보호용 명령어로 노이즈 역할 가능);불필요하게 큰 스택 프레임 할당 (sub rsp, 0x60 - 실제 사용보다 큰 공간);간접 함수 호출을 통한 실제 함수 기능 은닉 (0x401220, 0x401280, 0x4011c0, 0x4012c0 등 외부 함수로 분기)",hard,L1L2,2026-05-29 15:04:28
target_hard_L1L2L3,process_input,8,8,2,true,true,endbr64 (CET 보호 또는 junk instruction으로 활용 가능);불필요한 중간 레지스터 경유 (rax를 통한 우회 mov 패턴),hard,L1L2L3,2026-05-29 15:04:39
target_hard_L1L2L3L4,process_input,8,8,2,true,true,endbr64 (CET 관련 명령어로 분석 방해 가능);간접 함수 호출을 통한 기능 분산 (control flow 분산),hard,L1L2L3L4,2026-05-29 15:04:58
target_hard_none,process_input,8,8,2,true,true,"endbr64 (CET 관련 명령어로 분석 혼란 유도 가능);간접 함수 호출을 통한 실제 기능 은닉 (0x401220, 0x401280, 0x4011c0, 0x4012c0);RIP 상대 주소 방식의 문자열 참조 (lea rax, [rip + offset])",hard,none,2026-05-29 15:05:11
target_easy_L1,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 일부 환경에서 분석 방해);nop (junk instruction, 코드 패딩)",easy,L1,2026-05-29 15:05:21
target_easy_L1L2,vuln,3,2,1,true,true,"endbr64 (CET 관련 인스트럭션, 분석 방해 가능);nop (junk instruction)",easy,L1L2,2026-05-29 15:05:31
target_easy_L1L2L3,vuln,3,2,1,true,true,"endbr64 (CET/간접 분기 보호 또는 junk-like 프리픽스);nop (junk instruction, 의미 없는 패딩)",easy,L1L2L3,2026-05-29 15:05:41
target_easy_L1L2L3L4,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 일부 난독화 도구가 삽입);nop (junk instruction, 0x004012be)",easy,L1L2L3L4,2026-05-29 15:05:51
target_easy_none,vuln,3,2,1,true,true,"endbr64 (CET 마커, 경미한 분석 방해);nop (junk instruction, 사소한 난독화)",easy,none,2026-05-29 15:06:03
target_hard_L1,process_input,8,8,2,true,true,"endbr64 (CET 관련 명령어로 분석 혼란 유발 가능);간접 문자열 참조 (RIP 상대 주소로 문자열 위치 은닉);불필요하게 큰 스택 프레임 할당 (sub rsp, 0x60으로 실제 사용량 대비 과도한 공간 확보)",hard,L1,2026-05-29 15:06:14
target_hard_L1L2,process_input,8,8,2,true,true,endbr64 (CET 관련 명령어로 분석 방해 가능);불필요한 중간 레지스터 경유 (rax를 거쳐 rdi에 전달하는 패턴 반복);간접 함수 호출을 통한 실제 함수 기능 은닉,hard,L1L2,2026-05-29 15:06:25
target_hard_L1L2L3,process_input,8,8,2,true,true,"endbr64 (CET 관련 인스트럭션, 정적 분석 방해 가능);간접 함수 호출을 통한 실제 함수 기능 은닉 (0x401220, 0x401280, 0x4011c0, 0x4012c0 등 외부 함수로 로직 분산);RIP-relative 주소 기반 문자열 참조 (문자열 직접 노출 회피)",hard,L1L2L3,2026-05-29 15:06:38
target_hard_L1L2L3L4,process_input,8,8,2,true,true,"endbr64 (CET 관련 명령어, 간접 분기 추적 힌트로 분석 혼란 유발);간접 함수 호출을 통한 실제 함수명 은닉 (문자열 출력 및 복사 함수를 직접 심볼 없이 주소로 호출);RIP 상대 주소 방식의 문자열 참조 (lea rax, [rip + offset]으로 문자열 위치 난독화)",hard,L1L2L3L4,2026-05-29 15:06:50
target_hard_none,process_input,8,8,2,true,true,"endbr64 (CET 관련 명령어, 일부 환경에서 junk instruction으로 사용);간접 제어 흐름 (간접 함수 호출을 통한 실제 동작 은닉);불필요한 중간 레지스터 이동 (mov rax; mov rdi 패턴 반복으로 흐름 추적 난이도 증가)",hard,none,2026-05-29 15:07:07
target_easy_L1,vuln,3,2,1,true,true,endbr64 (CET/IBT 관련 명령어로 분석 도구 혼란 유발 가능);nop (junk instruction),easy,L1,2026-05-29 15:07:18
target_easy_L1L2,vuln,3,2,1,true,true,"endbr64 (CET 관련 명령어, 일부 난독화 도구에서 junk로 삽입);nop (junk instruction, 0x004012be)",easy,L1L2,2026-05-29 15:07:28
